2235U;08058;CERVERA DE PISUERGA;PALENCIA;425214N;043112W;1140;1986-06-01;2021-09-02
2401;;PALENCIA, OBSERVATORIO;PALENCIA;420018N;043145W;750;1951-01-01;1990-07-31
1484;;PONTEVEDRA, INSTITUTO;PONTEVEDRA;422550N;083850W;19;1945-04-01;1985-09-30
1484C;08044;PONTEVEDRA;PONTEVEDRA;422618N;083657W;108;1985-10-01;2021-09-02
1495;08045;VIGO AEROPUERTO;PONTEVEDRA;421419N;083726W;261;1956-05-01;2021-09-02
2491C;08205;LA COVATILLA, ESTACIÓN DE ESQUÍ;SALAMANCA;402118N;054124W;1960;2001-12-17;2021-09-02
2946X;08195;SAELICES EL CHICO;SALAMANCA;403806N;063600W;680;1988-12-29;2021-09-02
2867;08202;SALAMANCA AEROPUERTO;SALAMANCA;405734N;052954W;790;1945-01-01;2021-09-02
2870;08201;SALAMANCA;SALAMANCA;405727N;053944W;775;1970-01-01;2021-09-02
2916A;08129;VITIGUDINO;SALAMANCA;410041N;062616W;769;1991-10-23;2021-09-02
2150H;08143;LA PINILLA, ESTACIÓN DE ESQUÍ;SEGOVIA;411131N;032831W;1798;1977-01-01;2021-09-02
2465A;;SEGOVIA, INSTITUTO;SEGOVIA;405648N;040657W;990;1931-01-01;1986-09-30
2465;08213;SEGOVIA;SEGOVIA;405643N;040735W;1005;1988-10-01;2021-09-01
5704B;08392;CAZALLA DE LA SIERRA;SEVILLA;375535N;054611W;550;1997-01-29;2021-09-03
5641X;08395;ÉCIJA;SEVILLA;373058N;050506W;130;2001-01-01;2021-09-03
5612B;08399;LA RODA DE ANDALUCÍA;SEVILLA;371140N;044612W;410;2009-02-13;2021-09-03
5796;08397;MORÓN DE LA FRONTERA;SEVILLA;370952N;053641W;87;1946-02-01;2021-09-03
5783;08391;SEVILLA AEROPUERTO;SEVILLA;372500N;055245W;34;1951-01-01;2021-09-03
2030;08148;SORIA;SORIA;414630N;022859W;1082;1943-11-01;2021-09-02
C439J;60018;GÜÍMAR;STA. CRUZ DE TENERIFE;281906N;162256W;115;2014-01-01;2021-09-03
C929I;60001;HIERRO AEROPUERTO;STA. CRUZ DE TENERIFE;274908N;175320W;32;1973-12-01;2021-09-03
C430E;60010;IZAÑA;STA. CRUZ DE TENERIFE;281832N;162958W;2371;1920-01-01;2021-09-03
